,player_id,position,sub_position,yellow_cards,red_cards,avg_minutes_played,n_games
150,57370,Defender,Centre-Back,44,4,87.472,250
151,67831,Defender,Right-Back,44,3,75.56983240223464,179
152,130635,Defender,Left-Back,44,0,78.48148148148148,108
153,149498,Defender,Centre-Back,44,2,84.71146245059289,253
154,170463,Defender,Centre-Back,44,0,80.92696629213484,178
155,188838,Defender,Centre-Back,44,1,80.93055555555556,144
156,236468,Defender,Centre-Back,44,1,85.77181208053692,149
157,344695,Defender,Centre-Back,44,0,81.20994475138122,181
158,29260,Defender,Centre-Back,43,0,80.58928571428571,224
159,37712,Defender,Centre-Back,43,0,82.71323529411765,136
160,48634,Defender,Centre-Back,43,3,86.42660550458716,218
161,58579,Defender,Right-Back,43,0,87.3347280334728,239
162,60128,Defender,Centre-Back,43,0,88.12352941176471,170
163,74810,Defender,Centre-Back,43,0,89.52314814814815,216
164,85289,Defender,Centre-Back,43,4,81.41420118343196,169
165,86202,Defender,Centre-Back,43,1,86.5436507936508,252
166,106405,Defender,Centre-Back,43,1,87.85067873303167,221
167,111347,Defender,Centre-Back,43,1,82.92125984251969,127
168,161869,Defender,Right-Back,43,1,78.60580912863071,241
169,175722,Defender,Centre-Back,43,0,82.19285714285714,280
170,184767,Defender,Right-Back,43,0,81.71974522292993,157
171,246291,Defender,Centre-Back,43,2,83.1195652173913,184
172,291758,Defender,Right-Back,43,1,74.95569620253164,158
173,354352,Defender,Right-Back,43,1,84.64432989690722,194
174,15773,Defender,Right-Back,42,0,84.104,125
175,30677,Defender,Centre-Back,42,1,84.2485549132948,173
176,44501,Defender,Left-Back,42,1,79.9589552238806,268
177,45319,Defender,Right-Back,42,0,80.78632478632478,117
178,46741,Defender,Centre-Back,42,4,84.58333333333333,240
179,51897,Defender,Right-Back,42,0,75.0780487804878,205
180,53077,Defender,Centre-Back,42,1,83.15094339622641,106
181,55605,Defender,Left-Back,42,2,80.90731707317073,205
182,57723,Defender,Centre-Back,42,0,86.45631067961165,206
183,72490,Defender,Right-Back,42,1,80.97080291970804,137
184,110695,Defender,Right-Back,42,0,78.81623931623932,234
185,120070,Defender,Right-Back,42,1,87.31221719457014,221
186,121985,Defender,Centre-Back,42,1,73.16304347826087,184
187,206386,Defender,Centre-Back,42,1,74.91025641025641,156
188,241457,Defender,Centre-Back,42,4,76.55232558139535,172
189,242940,Defender,Centre-Back,42,1,80.40601503759399,133
190,248903,Defender,Right-Back,42,0,83.68852459016394,183
191,282041,Defender,Centre-Back,42,2,83.30337078651685,178
192,321528,Defender,Right-Back,42,0,83.86574074074075,216
193,346289,Defender,Centre-Back,42,1,74.80246913580247,162
194,7781,Defender,Centre-Back,41,1,81.7008547008547,117
195,14942,Defender,Right-Back,41,2,86.80536912751678,149
196,33031,Defender,Centre-Back,41,2,84.73228346456693,127
197,42412,Defender,Centre-Back,41,1,84.71875,224
